,UNIVERSIDAD,CARRERA,TITULO,RESUMEN,AUTOR(ES),AÑO,PDF
510,autonoma,psicología,"Efectos del programa TEO en adultos mayores con depresión, de un INABIF de Villa El Salvador","El objetivo principal del presente estudio fue explorar los efectos del programa TEO en adultos mayores con depresión, que pertenecen al club adulto mayor de un INABIF de Villa El Salvador. El tipo de investigación fue ...","De Jesus Torres, Jose Adrian",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1184/De%20Jesus%20Torres%2c%20Jose%20Adrian.pdf
511,autonoma,contabilidad,"El sistema de detracciones y su relación con las obligaciones operativas de la inmobiliaria Canales Gutierrez Carlos Eulogio, Barranco – Lima, 2019",La relación entre el sistema de detracciones y las obligaciones operativas tiene dos aspectos fundamentales que son la aplicación de la norma y la falta de liquidez para cubrir los gastos por la acumulación de ingresos en ...,"Polo Obregón, Dimensa",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1088/Polo%20Obregon%2c%20Dimensa.pdf
512,autonoma,contabilidad,"Flujo de efectivo y rendimiento financiero en la empresa Fibraprint S.A.C, Chilca, 2020","El propósito de la presente investigación fue determinar la relación que existe entre el flujo de efectivo y el rendimiento financiero de la empresa Fibraprint S.A.C., Chilca, 2020. El problema fue básicamente la falta de ...","Alarcon Vilca, Victor Valentin; Valdivia Condori, Estrella Sayuri",2020,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1058/Alarcon%20Vilca%2c%20Victor%20Valentin%3b%20Valdivia%20Condori%2c%20Estrella%20Sayuri.pdf
513,autonoma,contabilidad,"Principio del devengado por ingresos de pensiones y el impuesto a la renta de un colegio de Lurín, 2019","En la presente investigación, el problema fue que no se aplicó correctamente el principio del devengado por ingresos de pensiones y se realizó erróneamente el cálculo del Impuesto a la Renta (IR). Esta inconsistencia ...","Condori Meza, Maritza; Ramos Vásquez, Paco Urbano Herminio",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1064/Condori%20Meza%2c%20Maritza%20%3b%20Ramos%20Vasquez%2c%20Paco%20Urbano%20Herminio.pdf
514,autonoma,contabilidad,"Incidencia de la facturación electrónica, en las obligaciones tributarias, de la empresa Conta Perú Servicios Empresariales S.A.C., del distrito de Miraflores, en el año 2018","El presente trabajo de investigación tiene como objetivo determinar la relación que existe entre la facturación electrónica y la obligación tributaria, en la empresa Conta Peru Servicios Empresariales S.A.C. El tipo de ...","Gómez Noa, Jóse Carlos",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1065/Gomez%20Noa%2c%20Jose%20Carlos.pdf
515,autonoma,contabilidad,"Planeamiento tributario y la rentabilidad económica en la empresa Inversiones S&B Stilos SAC, distrito de Chorrillos - Lima, 2018","La presente investigación que lleva por título ‘‘Planeamiento tributario y la rentabilidad económica en la empresa Inversiones S&B Stilos SAC, distrito de Chorrillos, el cual cuenta con el principal objetivo de buscar la ...","Apac Conde, Lillit Mariana; Valverde Perez, Juan",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1063/Apac%20Conde%2c%20Lillit%20Mariana%3b%20Valverde%20Perez%2c%20Juan.pdf
516,autonoma,contabilidad,Gestión de inventarios y su incidencia en la determinación del costo de ventas del área de tecnología de la empresa G4s Perú S.A.C. San Isidro - 2019,La investigación planteó como objetivo determinar la incidencia de la gestión de inventarios en la determinación del costo de ventas del área de tecnología de la empresa G4S Perú S.A.C. San Isidro - 2019. La investigación ...,"Bocanegra Rodriguez, Vanesa Guisela; Llanqque Corpuna, Janet Clarisa",2020,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1052/Bocanegra%20Rodriguez%20y%20Llanqque%20Corpuna.pdf
517,autonoma,contabilidad,"El capital de trabajo y la solvencia en la empresa negociación ferretera Carolina S.A.C. del Distrito de Pucusana, Año 2019","El presente estudio de investigación tuvo por objetivo establecer la relación del capital de trabajo con la solvencia de la empresa Negociación Ferretera Carolina S.A.C. del distrito de Pucusana, año 2019. El tipo de ...","Quispe Morales, Dania Febe; Valenzuela Cutarma, Raisa Pamela",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1199/Quispe%20Morales%2c%20Dania%20Febe%3b%20Valenzuela%20Cutarma%2c%20Raisa%20Pamela.pdf
518,autonoma,contabilidad,"Los gastos no deducibles y su relación con la determinación del impuesto a la renta de tercera categoría en la empresa Servitek S.A.C., del distrito de San Isidro, periodo 2019","La presente investigación tiene como objetivo principal determinar la relación que existe entre los gastos no deducibles y la determinación del impuesto a la renta de tercera categoría en la empresa Servitek S.A.C., del ...","Barrionuevo Torres, Leonardo David; Robles De La Cruz, Ruth Esther",2020,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1045/Barrionuevo%20Torres%2c%20Leonardo%20David%3b%20Robles%20De%20La%20Cruz%2c%20Ruth%20Esther.pdf
519,autonoma,contabilidad,Control de materiales y su relación con el costo de venta de la empresa Velt SAC en el distrito de Jesús María del período 2019,La presente investigación tiene como título: Control de materiales y su relación con el costo de venta de la empresa Velt SAC en el distrito de Jesús María del periodo 2019. El objetivo de estudio es determinar la relación ...,"Flores Suarez, Rocio Leidy; Moscol Otero, Naomi Dafna",2020,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1049/Flores%20Suarez%2c%20Rocio%20Leidy%20y%20Moscol%20Otero%2c%20Naomi%20Dafna.pdf
